portfolio,website,year,summary
CreditKarma,http://creditkarma.com/,,"Credit Karma offers truly free access to credit reports and scores, personalized financial recommendations and educational resources."
Remind,https://www.remind.com/,,Remind is a web and mobile application that enables teachers to text message students and stay in touch with parents.
Talkdesk,http://talkdesk.com/,,"Talkdesk is an easy-to-use, cloud-based call center software solution that helps improve customer interactions while reducing costs."
Udemy,http://udemy.com/,,"Udemy provides a marketplace for online learning that makes content from experts available to anyone, anywhere. It currently offers more than 16,000 courses on a wide range of topi"
Smule,http://khu.sh/,,"Khush develops music applications such as LaDiDa, a reverse karaoke iPhone app that analyzes the user's voice and composes music to match."
Intercom,http://intercom.io/,,"Intercom provides a personal messaging service for Internet businesses and their customers. It provides a single, integrated platform for the whole company to use for support, mar"
Realty Shares,http://realtyshares.com/,,RealtyShares is an online marketplace for real estate investing
VivaReal,http://vivareal.com.br/,,"VivaReal is an online real estate marketplace connecting buyers, sellers and renters with properties in Latin America."
Ohmconnect,http://ohmconnect.com/,,"OhmConnect monitors real-time conditions on the electricity grid. When dirty and unsustainable power plants turn on, our users receive a notification to save energy."
Kinnek,http://kinnek.com/,,Kinnek is a B2B platform that allows small businesses to request and receive customized quotes from suppliers for their purchases.
Tokyo Otaku Mode,http://otakumode.com/,,"Tokyo Otaku Mode delivers the latest news on Japanese anime, manga, games, and more through its Facebook page."
WePay,http://wepay.com/,,"WePay is an online payment service provider in the United States. WePay's payment API focuses exclusively on platform businesses such as crowdfunding sites, marketplaces and small "
Konfio,http://konfio.mx/,,The instant online lending platform for latam.
BarkBox,http://barkbox.com/,,Barkbox is a subscription-based e-commerce and content company for dog lovers.
Canva,http://canva.com/,,Canva is an online design platform that allows users to create professional quality graphics with ready-made templates.
LE TOTE,http://letote.com/,,LE TOTE is a fashion discovery platform that connects brands with consumers through a rental model.
Algolia,http://algolia.com/,,Algolia provides a hosted search API that allows websites and mobile applications to increase user engagement and conversions.
99 minutos,http://99minutos.com/,,Ship anywhere within Mexico City in under 99 minutes. 
Lucid Chart,http://golucid.co/,,"Lucidchart is your solution for visual communication. Online flowcharts, diagrams, UML sketches, and ER models have never been easier. Start a free trial today!"
Avanoo,http://avanoo.com/,,Renowned Experts Improving Your Team
Styleseat,http://styleseat.com/,,"StyleSeat is the leading destination for booking beauty and wellness appointments. With StyleSeat, industry experts gain a place to showcase their work, connect with clients, and b"
CreditKarma,http://creditkarma.com/,,"Credit Karma offers truly free access to credit reports and scores, personalized financial recommendations and educational resources."
Remind,https://www.remind.com/,,Remind is a web and mobile application that enables teachers to text message students and stay in touch with parents.
Talkdesk,http://talkdesk.com/,,"Talkdesk is an easy-to-use, cloud-based call center software solution that helps improve customer interactions while reducing costs."
Udemy,http://udemy.com/,,"Udemy provides a marketplace for online learning that makes content from experts available to anyone, anywhere. It currently offers more than 16,000 courses on a wide range of topi"
