portfolio,website,year,summary
3D Strong,https://www.45hc.com/,,3D Strong produces additive materials based on modified Carbon nanotubes (CNTs)
45HC,,,World’s fastest FCL container booking for any importer
Apella,,,
App Ray,http://app-ray.co/,,App Ray takes apart any mobile app to find security vulnerabilities data leaks and privacy breaches.
Aspida,http://www.getizzy.com/,,They are targeting the Sports (football) content providers who send video to their subscribers on their mobile phone. The fans can look at videos even when the screen is locked.
Barepeak,https://www.beeping.si/,,Beeping has created an easy web system for reserving a cleaner for your home or facility.
BEFELIX,,,beFelix is a business intelligence tool that helps its users to navigate through relevant sources of knowledge and exchange information.
Bubbles ,,,Bubbles is a location-based messaging app that allows users to chat with businesses nearby.
Bundlhub,,,
CAFELIER,https://cafelier.eu/,,Cafélier is a team of young designers engineers and sales experts working together to change the experience of drinking and making coffee and improve it’s quality worldwide.
CANELIO,,,Canelio is a smart device that will transform the training of your dog into a mobile game.
CIBO,https://ciboapp.com/,,Cibo: is all in one restaurant management system offering complete 360 degree solution to hospitality venues integrating all the features required to manage and market a restaurant.
CLOTIFY,http://clotify.com/ ,,Clotify is your virtual wardrobe!
CLUBIO,http://clubio.net/,,We are the one stop shop meeting a demand on the market by making the DJ booking process easy quick and simple. With our app Clubs save valuable time & money searching for emerging DJs.
Codebrainer,https://www.codebrainer.com/,,CodeBrainer is an intelligent online course for learning how to code. Focusing at complete beginners it uses deep psychological knowledge to keep students engaged.
Cryptical,,,Your personal AI crypto manager.
DENTEM,https://www.dentem.co/,,A cloud platform for your dental practice. Manage your clinic much better with Dentem.
Energo PLUS,,,Energo PLUS replaces exist electrode materials in li-ion batteries and supercapacitors with the unique materials very specific types of Carbon nanotubes (CNTs) which we can produce by patented methods resulted from 20 years’ experience in this field.
FASTCAST,https://www.fastcast.me/,,It’s a web platform where users can offer or hire specific entertainment skills and properties to simply: Make money – when hired. Save it – when hiring. Sork faster – when managing.
Flexkeeping ,,,Flexkeeping is a hotel management software replacing paper phone and mouth-to-mouth communication with one easy-to-use application.
FROC,http://www.frocrock.com/ ,,Froc is an adjustable stylish all-natural highchair developed to track your baby’s weight effortlessly and continually.
