portfolio,website,year,summary
Adistry,https://adistry.com/,,The platform for publishers and event planners to directly sell sponsorships and advertising - SF Cohort 8
Agora,https://agora.co/,,Automatically extract actionable insights from customer support conversations - SF Cohort 8
BidOps,https://bidops.com/,,Optimized e-procurement for enterprise - SF Cohort 8
CloudAdmin,https://www.cloudadmin.io/,,The automatic cloud spend automation platform - SF Cohort 8
Hopthru,https://www.hopthru.com/,,The mobile ticketing and validation platform for public transit - SF Cohort 8
Inscribe,https://www.inscribe.ai/,,Detect adversarial algorithmic attacks via API - SF Cohort 8
OnCue,https://www.oncue.co/,,Software platform for the moving industry - SF Cohort 8
Talage,https://talageins.com/,,The marketplace for small business insurance - SF Cohort 8
ZenSports,https://www.zensports.com/,,Local sports as a service - SF Cohort 8
Aces Health,,,Aces Health is a patient­-centric digital solution for clinical researchers and healthcare providers - SF Cohort 5 
Adhusky,,,Advertising made easy for SMB's (Acquired by GoDaddy) - SF Cohort 2 
Allbound,https://www.allbound.com/,,An innovative SaaS platform that simplifies and accelerates your ability to recruit onboard measure and grow your channel partners - SF Cohort 1 
Apozy,https://www.apozy.com/,,Human security intelligence company - DC Cohort 3 
Aquicore,https://aquicore.com/,,Real-time commercial energy management for your real estate portfolios - DC Cohort 2 
Aspire,http://aspire.is/,,Comprehensive perk management software (acquired by Raffa P.C.) - DC 
Baloonr,https://balloonr.com/,,Anonymously surface and prioritize information from any group - SF Cohort 4 
Bonsai AI,,,Bonsai AI makes artificial intelligence accessible and affordable by enabling a company’s existing programmers and analysts to build sophisticated AI systems (acquired by Microsoft) - DC Cohort 5 
Boon,https://goboon.co/,,Boon is a recruiting platform that enables companies to easily manage hiring and quickly generate the right candidates by incentivizing employee referral - SF Cohort 5  
Breinify,https://breinify.com/,,The leading time-driven AI engine that enables companies to provide predictive personalized engagements at the individual level - SF Cohort 6 
BridgeCrest Medical,,,Leading fatigue management solution for heavy industries (Acquired by Ability Wearables) - SF Cohort 1 
Bundle,https://www.orderbundle.com/,,The industrial supply management platform - SF Cohort 7 
CareerLark,https://www.careerlark.com/,,CareerLark is a performance management platform that gives employees continuous real-time and contextual feedback - SF Cohort 4 
Compa.as,https://compa.as/,,Compensation Tools and Analytics for  Growing Companies - SF Cohort 7 
ConferenceEdge,http://www.conferenceedge.com/,,Unique technological solutions for event planning and management - DC Cohort 1 
ContextSmith,https://www.contextsmith.com/,,The enterprise customer lifecycle platform connecting sales support and customer success - SF Cohort 4 
D4DT,https://www.d4dt.com/,,The enterprise IoT platform for data ingestion aggregation and analysis - SF Cohort 7 
DealSite,https://dealsite.com/,,Cloud based contact management and collaboration suite for large banks consulting firms and lawyers - SF Cohort 2 
DivvyCloud,https://divvycloud.com/,,On-premise software that simplifies the way companies orchestrate and audit their cloud based IT infrastructure. - DC Cohort 3 
Elliot,https://www.helloiamelliot.com/,,Global Commerce Simplified - SF Cohort 7 
Encore Alert,,,Proactive alerts tool for social marketers (acquired by Meltwater) - DC Cohort 3 
ExecOnline,https://www.execonline.com/,,Executive level professional development - DC Cohort 1 
ExecVision,https://www.execvision.io/,,Conversation analytics for sales marketing and CS teams - SF 
Exeq,,,Exeq is a digital financial hub providing an advanced client management and onboarding platform to top tier asset management firms as well as a personal financial management portal for their clients - SF Cohort 5 
Fireflies,https://fireflies.ai/,,The automatic note taking assistant for your meetings - SF Cohort 7 
Flipcause,https://www.flipcause.com/,,Helps nonprofits grow their impact with a full suite of on-demand fundraising tools. - SF Cohort 1 
FOMO,https://www.usefomo.com/,,Modern social proof marketing - SF 
FairWords,http://www.getwhistler.io/,,Digital communication monitoring across an enterprise to remove bias and inappropriate behavior - SF Cohort 2 
Gatsby,https://gatsby.ai/,,The first CRM & marketing automation tool for genuine customer influence - SF Cohort 7 
Glassbreakers,https://www.glassbreakers.co/,,Enterprise Software platform to manage diversity across your organization - SF Cohort 3 
Hostfully,https://hostfully.com/,,Hostfully helps travelers reach the best local content and essential property information - SF Cohort 6 
Indio,https://www.useindio.com/,,Commercial insurance simplified - SF Cohort 5 
